amplicon,n_samples,n_samples_pass_cov,sample_mean_cov,sample_med_cov,amplicon_cov_pass
crt,74,49,264.56978261172895,180.0863448631905,False
dhfr,74,68,5782.023070139155,5175.439358937338,True
dhps,74,64,1282.4950100538176,916.6554978118162,True
kelch13,74,66,2813.0997442816574,2060.8621275483533,True
mdr1,74,60,1288.4441587094648,1135.026371587596,True
msp2,74,63,1113.0672587910492,971.5,True
pmi,74,61,727.2981732135231,471.8918090938407,True
pmiii,74,62,524.6502228872471,369.3934544405998,True
