amplicon,n_samples,n_samples_pass_cov,sample_mean_cov,sample_med_cov,amplicon_cov_pass
crt,34,8,46.506654533045165,13.170366546205472,False
dhfr,34,30,832.1600062647749,132.2185965925498,True
dhps,34,32,1100.3897516967695,316.8542122538293,True
kelch13,34,32,512.4621102713813,80.72320961840042,True
mdr1,34,34,1807.216385827939,594.4487145507553,True
msp2,34,29,248.59090577729177,80.92204301075269,True
pmi,34,32,454.84938155543045,180.97226701064173,True
pmiii,34,31,710.8955388735753,342.873414071511,True
